SITE,DATE,Date,WEIR-REP,Watershed,Sample,,Sample Location 
Hubbard Brook ,9/9/2019,9/9/2019,W1-02,1,ST190922,,
Hubbard Brook ,9/16/2019,9/16/2019,W1-02,1,ST191962,,
Hubbard Brook ,9/23/2019,9/23/2019,W1-02,1,ST191002,,
Hubbard Brook ,9/30/2019,9/30/2019,W1-02,1,ST191042,,
Hubbard Brook ,10/7/2019,10/7/2019,W1-02,1,ST191082,,
Hubbard Brook ,10/15/2019,10/15/2019,W1-02,1,ST191122,,
Hubbard Brook ,10/21/2019,10/21/2019,W1-02,1,ST191162,,
Hubbard Brook ,10/28/2019,10/28/2019,W1-02,1,ST191202,,
Hubbard Brook ,11/4/2019,11/4/2019,W1-02,1,ST191242,,
Hubbard Brook ,11/11/2019,11/11/2019,W1-02,1,ST191282,,
Hubbard Brook ,11/18/2019,11/18/2019,W1-02,1,,NS,
Hubbard Brook ,11/25/2019,11/25/2019,W1-02,1,,NS,
Hubbard Brook ,12/3/2019,12/3/2019,W1-02,1,,NS,
Hubbard Brook ,3/25/2019,3/25/2019,W1-03,1,,NS,Cary 
Hubbard Brook ,4/1/2019,4/1/2019,W1-03,1,,NS,
Hubbard Brook ,4/8/2019,4/8/2019,W1-03,1,,NS,
Hubbard Brook ,4/15/2019,4/15/2019,W1-03,1,,NS,
Hubbard Brook ,4/22/2019,4/22/2019,W1-03,1,,NS,
Hubbard Brook ,4/29/2019,4/29/2019,W1-03,1,ST190163,,
Hubbard Brook ,5/6/2019,5/6/2019,W1-03,1,ST190203,,
Hubbard Brook ,5/13/2019,5/13/2019,W1-03,1,ST190243,,
Hubbard Brook ,5/20/2019,5/20/2019,W1-03,1,ST190283,,
Hubbard Brook ,5/28/2019,5/28/2019,W1-03,1,ST190323,,
Hubbard Brook ,6/2/2019,6/2/2019,W1-03,1,ST190363,,
Hubbard Brook ,6/10/2019,6/10/2019,W1-03,1,ST190403,,
Hubbard Brook ,6/17/2019,6/17/2019,W1-03,1,ST190443,,
Hubbard Brook ,6/24/2019,6/24/2019,W1-03,1,ST190483,,
Hubbard Brook ,7/1/2019,7/1/2019,W1-03,1,ST190523,,
Hubbard Brook ,7/8/2019,7/8/2019,W1-03,1,ST190563,,
Hubbard Brook ,7/15/2019,7/15/2019,W1-03,1,ST190603,,
Hubbard Brook ,7/22/2019,7/22/2019,W1-03,1,ST190643,,
Hubbard Brook ,7/29/2019,7/29/2019,W1-03,1,ST190683,,
Hubbard Brook ,8/5/2019,8/5/2019,W1-03,1,ST190723,,
Hubbard Brook ,8/12/2019,8/12/2019,W1-03,1,ST190763,,
Hubbard Brook ,8/19/2019,8/19/2019,W1-03,1,ST190803,,
Hubbard Brook ,8/26/2019,8/26/2019,W1-03,1,ST190843,,
Hubbard Brook ,9/3/2019,9/3/2019,W1-03,1,ST190883,,
Hubbard Brook ,9/9/2019,9/9/2019,W1-03,1,ST190923,,
Hubbard Brook ,9/16/2019,9/16/2019,W1-03,1,ST191963,,
Hubbard Brook ,9/23/2019,9/23/2019,W1-03,1,ST191003,,
Hubbard Brook ,9/30/2019,9/30/2019,W1-03,1,ST191043,,
Hubbard Brook ,10/7/2019,10/7/2019,W1-03,1,ST191083,,
Hubbard Brook ,10/15/2019,10/15/2019,W1-03,1,ST191123,,
Hubbard Brook ,10/21/2019,10/21/2019,W1-03,1,ST191163,,
Hubbard Brook ,10/28/2019,10/28/2019,W1-03,1,ST191203,,
Hubbard Brook ,11/4/2019,11/4/2019,W1-03,1,ST191243,,
Hubbard Brook ,11/11/2019,11/11/2019,W1-03,1,ST191283,,
Hubbard Brook ,11/18/2019,11/18/2019,W1-03,1,,NS,
Hubbard Brook ,11/25/2019,11/25/2019,W1-03,1,,NS,
Hubbard Brook ,12/3/2019,12/3/2019,W1-03,1,,NS,
Hubbard Brook ,3/25/2019,3/25/2019,W1-04,1,,NS,Cary 
Hubbard Brook ,4/1/2019,4/1/2019,W1-04,1,,NS,
Hubbard Brook ,4/8/2019,4/8/2019,W1-04,1,,NS,
Hubbard Brook ,4/15/2019,4/15/2019,W1-04,1,,NS,
Hubbard Brook ,4/22/2019,4/22/2019,W1-04,1,,NS,
Hubbard Brook ,4/29/2019,4/29/2019,W1-04,1,ST190164,,
Hubbard Brook ,5/6/2019,5/6/2019,W1-04,1,ST190204,,
Hubbard Brook ,5/13/2019,5/13/2019,W1-04,1,ST190244,,
Hubbard Brook ,5/20/2019,5/20/2019,W1-04,1,ST190284,,
Hubbard Brook ,5/28/2019,5/28/2019,W1-04,1,ST190324,,
Hubbard Brook ,6/2/2019,6/2/2019,W1-04,1,ST190364,,
Hubbard Brook ,6/10/2019,6/10/2019,W1-04,1,ST190404,,
Hubbard Brook ,6/17/2019,6/17/2019,W1-04,1,ST190444,,
Hubbard Brook ,6/24/2019,6/24/2019,W1-04,1,ST190484,,
Hubbard Brook ,7/1/2019,7/1/2019,W1-04,1,ST190524,,
Hubbard Brook ,7/8/2019,7/8/2019,W1-04,1,ST190564,,
Hubbard Brook ,7/15/2019,7/15/2019,W1-04,1,ST190604,,
Hubbard Brook ,7/22/2019,7/22/2019,W1-04,1,ST190644,,
Hubbard Brook ,7/29/2019,7/29/2019,W1-04,1,ST190684,,
Hubbard Brook ,8/5/2019,8/5/2019,W1-04,1,ST190724,,
Hubbard Brook ,8/12/2019,8/12/2019,W1-04,1,ST190764,,
Hubbard Brook ,8/19/2019,8/19/2019,W1-04,1,ST190804,,
Hubbard Brook ,8/26/2019,8/26/2019,W1-04,1,ST190844,,
Hubbard Brook ,9/3/2019,9/3/2019,W1-04,1,ST190884,,
Hubbard Brook ,9/9/2019,9/9/2019,W1-04,1,ST190924,,
Hubbard Brook ,9/16/2019,9/16/2019,W1-04,1,ST191964,,
Hubbard Brook ,9/23/2019,9/23/2019,W1-04,1,ST191004,,
Hubbard Brook ,9/30/2019,9/30/2019,W1-04,1,ST191044,,
Hubbard Brook ,10/7/2019,10/7/2019,W1-04,1,ST191084,,
Hubbard Brook ,10/15/2019,10/15/2019,W1-04,1,ST191124,,
Hubbard Brook ,10/21/2019,10/21/2019,W1-04,1,ST191164,,
Hubbard Brook ,10/28/2019,10/28/2019,W1-04,1,ST191204,,
Hubbard Brook ,11/4/2019,11/4/2019,W1-04,1,ST191244,,
Hubbard Brook ,11/11/2019,11/11/2019,W1-04,1,ST191284,,
Hubbard Brook ,11/18/2019,11/18/2019,W1-04,1,,NS,
Hubbard Brook ,11/25/2019,11/25/2019,W1-04,1,,NS,
Hubbard Brook ,12/3/2019,12/3/2019,W1-04,1,,NS,
Hubbard Brook ,3/25/2019,3/25/2019,W1-05,1,,NS,Cary 
Hubbard Brook ,4/1/2019,4/1/2019,W1-05,1,,NS,
Hubbard Brook ,4/8/2019,4/8/2019,W1-05,1,,NS,
Hubbard Brook ,4/15/2019,4/15/2019,W1-05,1,,NS,
Hubbard Brook ,4/22/2019,4/22/2019,W1-05,1,,NS,
Hubbard Brook ,4/29/2019,4/29/2019,W1-05,1,ST190165,,
Hubbard Brook ,5/6/2019,5/6/2019,W1-05,1,ST190205,,
Hubbard Brook ,5/13/2019,5/13/2019,W1-05,1,ST190245,,
Hubbard Brook ,5/20/2019,5/20/2019,W1-05,1,ST190285,,
Hubbard Brook ,5/28/2019,5/28/2019,W1-05,1,ST190325,,
Hubbard Brook ,6/2/2019,6/2/2019,W1-05,1,ST190365,,
Hubbard Brook ,6/10/2019,6/10/2019,W1-05,1,ST190405,,
Hubbard Brook ,6/17/2019,6/17/2019,W1-05,1,ST190445,,
Hubbard Brook ,6/24/2019,6/24/2019,W1-05,1,ST190485,,
Hubbard Brook ,7/1/2019,7/1/2019,W1-05,1,ST190525,,
Hubbard Brook ,7/8/2019,7/8/2019,W1-05,1,ST190565,,
Hubbard Brook ,7/15/2019,7/15/2019,W1-05,1,ST190605,,
Hubbard Brook ,7/22/2019,7/22/2019,W1-05,1,ST190645,,
Hubbard Brook ,7/29/2019,7/29/2019,W1-05,1,ST190685,,
