"","date","Watershed","month","year","Sample","count_sum"
"377",2020-06-02,"6",6,2020,"ST190390",130
"378",2020-06-02,"9",6,2020,"ST190391",48
"379",2020-06-02,"9",6,2020,"ST190392",42
"380",2020-06-02,"9",6,2020,"ST190393",97
"381",2020-06-02,"9",6,2020,"ST190394",104
"382",2020-06-02,"9",6,2020,"ST190395",118
"383",2020-06-02,"HBK",6,2020,"ST190396",38
"384",2020-06-02,"HBK",6,2020,"ST190397",14
"385",2020-06-02,"HBK",6,2020,"ST190398",25
"386",2020-06-02,"HBK",6,2020,"ST190399",16
"387",2020-06-02,"HBK",6,2020,"ST190400",20
"388",2020-06-04,"1",6,2020,"1",4
"389",2020-06-04,"1",6,2020,"10",10
"390",2020-06-04,"1",6,2020,"2",46
"391",2020-06-04,"1",6,2020,"3",10
"392",2020-06-04,"1",6,2020,"4",118
"393",2020-06-04,"1",6,2020,"5",12
"394",2020-06-04,"1",6,2020,"6",68
"395",2020-06-04,"1",6,2020,"7",10
"396",2020-06-04,"1",6,2020,"8",82
"397",2020-06-04,"1",6,2020,"9",12
"398",2020-06-04,"1",6,2020,NA,0
"399",2020-06-04,"2",6,2020,"1",72
"400",2020-06-04,"2",6,2020,"10",60
"401",2020-06-04,"2",6,2020,"2",174
"402",2020-06-04,"2",6,2020,"3",214
"403",2020-06-04,"2",6,2020,"4",194
"404",2020-06-04,"2",6,2020,"5",66
"405",2020-06-04,"2",6,2020,"6",94
"406",2020-06-04,"2",6,2020,"7",98
"407",2020-06-04,"2",6,2020,"8",92
"408",2020-06-04,"2",6,2020,"9",74
"409",2020-06-04,"4",6,2020,"1",0
"410",2020-06-04,"4",6,2020,"10",0
"411",2020-06-04,"4",6,2020,"2",0
"412",2020-06-04,"4",6,2020,"3",0
"413",2020-06-04,"4",6,2020,"4",0
"414",2020-06-04,"4",6,2020,"5",0
"415",2020-06-04,"4",6,2020,"6",0
"416",2020-06-04,"4",6,2020,"7",0
"417",2020-06-04,"4",6,2020,"8",0
"418",2020-06-04,"4",6,2020,"9",0
"419",2020-06-04,"6",6,2020,"1",60
"420",2020-06-04,"6",6,2020,"10",66
"421",2020-06-04,"6",6,2020,"2",70
"422",2020-06-04,"6",6,2020,"3",92
"423",2020-06-04,"6",6,2020,"4",36
"424",2020-06-04,"6",6,2020,"5",146
"425",2020-06-04,"6",6,2020,"6",40
"426",2020-06-04,"6",6,2020,"7",102
"427",2020-06-04,"6",6,2020,"8",144
"428",2020-06-04,"6",6,2020,"9",50
"429",2020-06-04,"9",6,2020,"1",40
"430",2020-06-04,"9",6,2020,"10",78
"431",2020-06-04,"9",6,2020,"2",75
"432",2020-06-04,"9",6,2020,"3",112
"433",2020-06-04,"9",6,2020,"4",93
"434",2020-06-04,"9",6,2020,"5",71
"435",2020-06-04,"9",6,2020,"6",188
"436",2020-06-04,"9",6,2020,"7",143
"437",2020-06-04,"9",6,2020,"8",82
"438",2020-06-04,"9",6,2020,"9",121
"439",2020-06-10,"1",6,2020,"ST190401",143
"440",2020-06-10,"1",6,2020,"ST190402",119
"441",2020-06-10,"1",6,2020,"ST190403",107
"442",2020-06-10,"1",6,2020,"ST190404",128
"443",2020-06-10,"1",6,2020,"ST190405",197
"444",2020-06-10,"2",6,2020,"ST190406",303
"445",2020-06-10,"2",6,2020,"ST190407",181
"446",2020-06-10,"2",6,2020,"ST190408",205
"447",2020-06-10,"2",6,2020,"ST190409",298
"448",2020-06-10,"2",6,2020,"ST190410",261
"449",2020-06-10,"3",6,2020,"ST190411",383
"450",2020-06-10,"3",6,2020,"ST190412",550
"451",2020-06-10,"3",6,2020,"ST190413",530
"452",2020-06-10,"3",6,2020,"ST190414",535
"453",2020-06-10,"3",6,2020,"ST190415",497
"454",2020-06-10,"4",6,2020,"ST190416",161
"455",2020-06-10,"4",6,2020,"ST190417",197
"456",2020-06-10,"4",6,2020,"ST190418",194
"457",2020-06-10,"4",6,2020,"ST190419",122
"458",2020-06-10,"4",6,2020,"ST190420",214
"459",2020-06-10,"6",6,2020,"ST190426",241
"460",2020-06-10,"6",6,2020,"ST190427",178
"461",2020-06-10,"6",6,2020,"ST190428",204
"462",2020-06-10,"6",6,2020,"ST190429",234
"463",2020-06-10,"9",6,2020,"ST190431",128
"464",2020-06-10,"9",6,2020,"ST190432",203
"465",2020-06-10,"9",6,2020,"ST190433",220
"466",2020-06-10,"9",6,2020,"ST190434",157
"467",2020-06-10,"9",6,2020,"ST190435",116
"468",2020-06-10,"HBK",6,2020,"ST190436",75
"469",2020-06-10,"HBK",6,2020,"ST190437",77
"470",2020-06-10,"HBK",6,2020,"ST190438",124
"471",2020-06-10,"HBK",6,2020,"ST190439",67
"472",2020-06-10,"HBK",6,2020,"ST190440",184
"473",2020-06-11,"1",6,2020,"1",4
"474",2020-06-11,"1",6,2020,"10",4
"475",2020-06-11,"1",6,2020,"2",6
"476",2020-06-11,"1",6,2020,"3",60
"477",2020-06-11,"1",6,2020,"4",10
"478",2020-06-11,"1",6,2020,"5",68
"479",2020-06-11,"1",6,2020,"6",122
"480",2020-06-11,"1",6,2020,"7",84
"481",2020-06-11,"1",6,2020,"8",18
"482",2020-06-11,"1",6,2020,"9",10
"483",2020-06-11,"2",6,2020,"1",108
"484",2020-06-11,"2",6,2020,"10",120
"485",2020-06-11,"2",6,2020,"2",130
"486",2020-06-11,"2",6,2020,"3",98
"487",2020-06-11,"2",6,2020,"4",92
"488",2020-06-11,"2",6,2020,"5",58
"489",2020-06-11,"2",6,2020,"6",82
"490",2020-06-11,"2",6,2020,"7",102
"491",2020-06-11,"2",6,2020,"8",90
"492",2020-06-11,"2",6,2020,"9",58
"493",2020-06-11,"4",6,2020,"1",0
"494",2020-06-11,"4",6,2020,"10",0
"495",2020-06-11,"4",6,2020,"2",0
"496",2020-06-11,"4",6,2020,"3",0
"497",2020-06-11,"4",6,2020,"4",0
"498",2020-06-11,"4",6,2020,"5",0
"499",2020-06-11,"4",6,2020,"6",0
"500",2020-06-11,"4",6,2020,"7",0
"501",2020-06-11,"4",6,2020,"8",0
"502",2020-06-11,"4",6,2020,"9",0
"503",2020-06-11,"6",6,2020,"1",50
"504",2020-06-11,"6",6,2020,"10",168
"505",2020-06-11,"6",6,2020,"2",76
"506",2020-06-11,"6",6,2020,"3",122
"507",2020-06-11,"6",6,2020,"4",40
"508",2020-06-11,"6",6,2020,"5",38
"509",2020-06-11,"6",6,2020,"6",56
"510",2020-06-11,"6",6,2020,"7",202
"511",2020-06-11,"6",6,2020,"8",34
"512",2020-06-11,"6",6,2020,"9",74
"513",2020-06-11,"9",6,2020,"1",84
"514",2020-06-11,"9",6,2020,"10",57
"515",2020-06-11,"9",6,2020,"2",78
"516",2020-06-11,"9",6,2020,"3",163
"517",2020-06-11,"9",6,2020,"4",92
"518",2020-06-11,"9",6,2020,"5",42
"519",2020-06-11,"9",6,2020,"6",168
"520",2020-06-11,"9",6,2020,"7",92
"521",2020-06-11,"9",6,2020,"8",174
"522",2020-06-11,"9",6,2020,"9",87
"523",2020-06-17,"1",6,2020,"ST190441",51
"524",2020-06-17,"1",6,2020,"ST190442",1
"525",2020-06-17,"1",6,2020,"ST190443",50
"526",2020-06-17,"1",6,2020,"ST190444",51
"527",2020-06-17,"1",6,2020,"ST190445",57
"528",2020-06-17,"2",6,2020,"ST190446",86
"529",2020-06-17,"2",6,2020,"ST190447",84
"530",2020-06-17,"2",6,2020,"ST190448",105
"531",2020-06-17,"2",6,2020,"ST190449",95
"532",2020-06-17,"2",6,2020,"ST190450",105
"533",2020-06-17,"3",6,2020,"ST190451",188
"534",2020-06-17,"3",6,2020,"ST190452",207
"535",2020-06-17,"3",6,2020,"ST190453",197
"536",2020-06-17,"3",6,2020,"ST190454",183
"537",2020-06-17,"3",6,2020,"ST190455",156
"538",2020-06-17,"4",6,2020,"ST190456",81
"539",2020-06-17,"4",6,2020,"ST190457",95
"540",2020-06-17,"4",6,2020,"ST190458",79
"541",2020-06-17,"4",6,2020,"ST190459",86
"542",2020-06-17,"4",6,2020,"ST190460",85
"543",2020-06-17,"6",6,2020,"ST190466",67
"544",2020-06-17,"6",6,2020,"ST190467",47
"545",2020-06-17,"6",6,2020,"ST190468",72
"546",2020-06-17,"6",6,2020,"ST190469",79
"547",2020-06-17,"6",6,2020,"ST190470",57
"548",2020-06-17,"9",6,2020,"ST190471",132
"549",2020-06-17,"9",6,2020,"ST190472",61
"550",2020-06-17,"9",6,2020,"ST190473",106
"551",2020-06-17,"9",6,2020,"ST190474",139
"552",2020-06-17,"9",6,2020,"ST190475",106
"553",2020-06-17,"HBK",6,2020,"ST190476",73
"554",2020-06-17,"HBK",6,2020,"ST190477",49
"555",2020-06-17,"HBK",6,2020,"ST190478",76
"556",2020-06-17,"HBK",6,2020,"ST190479",40
"557",2020-06-17,"HBK",6,2020,"ST190480",42
